method,temporal_iou,class_macro_map
Frozen CLAP multiscale,0.1,0.1482038577665827
Frozen CLAP multiscale,0.2,0.09752042202480396
Frozen CLAP multiscale,0.30000000000000004,0.05408178207764023
Frozen CLAP multiscale,0.4,0.026082400962478054
Frozen CLAP multiscale,0.5,0.011993254759340096
Frozen QCR multiscale,0.1,0.12318531812804664
Frozen QCR multiscale,0.2,0.07401345219185008
Frozen QCR multiscale,0.30000000000000004,0.03920879462811312
Frozen QCR multiscale,0.4,0.018299589940649612
Frozen QCR multiscale,0.5,0.00830793399347658
Cross-fit CLAP-only,0.1,0.17527530639245495
Cross-fit CLAP-only,0.2,0.1288687600023609
Cross-fit CLAP-only,0.30000000000000004,0.08832478055710011
Cross-fit CLAP-only,0.4,0.05148696391445969
Cross-fit CLAP-only,0.5,0.025648934548108942
Cross-fit CLAP+QCR,0.1,0.1892987475943519
Cross-fit CLAP+QCR,0.2,0.13267111862656408
Cross-fit CLAP+QCR,0.30000000000000004,0.08771858011734267
Cross-fit CLAP+QCR,0.4,0.050632850311479884
Cross-fit CLAP+QCR,0.5,0.02465377830045349
Supervised ActionFormer,0.1,0.17399407085045177
Supervised ActionFormer,0.2,0.14336052879398004
Supervised ActionFormer,0.30000000000000004,0.11535707780626739
Supervised ActionFormer,0.4,0.08790028865438924
Supervised ActionFormer,0.5,0.06257689842336629
